epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.016,1.53586,1.99846,1.20192,0.73302,0.06877,0.21369,0.12405,1.34406,2.93214,1.1116,0.000656085,0.000656085,0.000656085
2,449.927,1.40421,1.39918,1.13995,0.50732,0.4347,0.40165,0.24105,1.46402,2.07508,1.15027,0.00130966,0.00130966,0.00130966
3,657.694,1.41861,1.29134,1.15772,0.67879,0.78255,0.74983,0.44949,1.38855,1.20066,1.15603,0.00195003,0.00195003,0.00195003
4,857.313,1.40966,1.17426,1.17118,0.68967,0.73703,0.78302,0.45492,1.43121,1.20422,1.16412,0.0019406,0.0019406,0.0019406
5,1056.72,1.40589,1.14385,1.16237,0.67649,0.76208,0.76627,0.43774,1.42992,1.15944,1.16557,0.0019208,0.0019208,0.0019208
6,1254.79,1.38597,1.09012,1.15237,0.7332,0.76201,0.78307,0.46687,1.38327,1.16666,1.16545,0.001901,0.001901,0.001901
7,1457.48,1.37429,1.00708,1.15504,0.72059,0.83044,0.8314,0.51464,1.33059,0.98644,1.10761,0.0018812,0.0018812,0.0018812
8,1656.88,1.39458,1.00578,1.16167,0.69237,0.80524,0.76995,0.44225,1.35275,1.05603,1.1405,0.0018614,0.0018614,0.0018614
9,1857.39,1.37777,0.99914,1.15421,0.69876,0.81216,0.82085,0.49538,1.33056,1.00828,1.14189,0.0018416,0.0018416,0.0018416
10,2054.81,1.36108,0.95344,1.1566,0.74215,0.79606,0.8104,0.48423,1.36483,0.95601,1.14666,0.0018218,0.0018218,0.0018218
11,2253.05,1.37527,0.95529,1.16205,0.70712,0.7947,0.80563,0.46023,1.4198,1.13367,1.19447,0.001802,0.001802,0.001802
12,2455.85,1.36726,0.94571,1.16422,0.66811,0.80859,0.78342,0.45552,1.37246,1.1611,1.19111,0.0017822,0.0017822,0.0017822
13,2656.31,1.33026,0.91948,1.13646,0.79863,0.79606,0.84787,0.51478,1.34044,0.9508,1.13626,0.0017624,0.0017624,0.0017624
14,2857.44,1.34196,0.90557,1.14489,0.72779,0.79428,0.83169,0.51428,1.33243,0.87029,1.13852,0.0017426,0.0017426,0.0017426
15,3057.73,1.34473,0.92227,1.14885,0.70152,0.80728,0.82956,0.51704,1.34143,0.88498,1.14729,0.0017228,0.0017228,0.0017228
16,3253.77,1.32482,0.89492,1.14347,0.75333,0.83589,0.85639,0.50931,1.37963,0.86493,1.16718,0.001703,0.001703,0.001703
17,3451.37,1.31845,0.86959,1.13798,0.80459,0.79551,0.87013,0.54588,1.33154,0.83754,1.14333,0.0016832,0.0016832,0.0016832
18,3651.37,1.31683,0.86779,1.12573,0.78807,0.80143,0.87098,0.53821,1.30081,0.84825,1.1317,0.0016634,0.0016634,0.0016634
19,3856.28,1.32023,0.86121,1.13144,0.80604,0.78802,0.87761,0.55303,1.29694,0.81879,1.12185,0.0016436,0.0016436,0.0016436
20,4058.12,1.30101,0.84761,1.12866,0.82479,0.85897,0.9071,0.57159,1.32418,0.77412,1.13217,0.0016238,0.0016238,0.0016238
21,4261.1,1.2947,0.85018,1.12017,0.76828,0.86596,0.89328,0.5545,1.31119,0.78464,1.13024,0.001604,0.001604,0.001604
22,4460.88,1.29006,0.83834,1.13229,0.76343,0.79668,0.83862,0.52841,1.31954,0.85295,1.13759,0.0015842,0.0015842,0.0015842
23,4662.33,1.30011,0.85256,1.13566,0.73549,0.83721,0.82842,0.52685,1.31193,0.90692,1.12937,0.0015644,0.0015644,0.0015644
24,4868.43,1.28478,0.81896,1.11978,0.79408,0.84794,0.88173,0.55731,1.34133,0.8021,1.1448,0.0015446,0.0015446,0.0015446
25,5070.29,1.28575,0.82447,1.12706,0.78582,0.82469,0.86672,0.5389,1.32578,0.84058,1.14937,0.0015248,0.0015248,0.0015248
26,5274.83,1.30752,0.82869,1.14267,0.80456,0.86047,0.89548,0.55915,1.33359,0.7576,1.14401,0.001505,0.001505,0.001505
27,5473.52,1.28448,0.81404,1.12705,0.81921,0.79785,0.88583,0.56923,1.28944,0.78263,1.13061,0.0014852,0.0014852,0.0014852
28,5672.02,1.27174,0.79054,1.11898,0.825,0.8229,0.89463,0.568,1.29363,0.76644,1.14294,0.0014654,0.0014654,0.0014654
29,5870.82,1.28158,0.78166,1.1217,0.79854,0.85868,0.87638,0.56219,1.29505,0.80781,1.13022,0.0014456,0.0014456,0.0014456
